QRG TX,QRG RX,Call,QTH,Locator,Alt.,Remarks,Status,lat,lon
145.7875,145.1875,HB9GR,Weisshorn,JN46TS,2635m,C4FM* #17586 NFM T141.3,2,"46.7895889","9.6387758"
432.6750,144.5750,HB9ID,Hesebool,JN47LN,668m,FM T71.9 70cm>2m,1,47.5625000,8.9583333
432.7375,432.7375,HB9RAR,Morlon,JN36MO,785m,D-STAR*,1,46.6041667,7.0416667
432.7500,432.7500,HB9AW,Sursee,JN47BE,502m,D-STAR*,1,"47.1740371","8.1089654"
432.7750,432.7750,HB9AW,Willisau,JN37XC,605m,D-STAR*,1,"47.1215184","7.99659"
432.8250,432.8250,HB9F,Brienz,JN46AR,693m,EL#258487 FM T94.8,2,"46.7425595","8.0630417"
438.0375,430.4375,HB9BO,Brienzer Rothorn,JN46AS,2285m,APCO-25,1,"46.7871033","8.0469085"
438.1000,438.1000,HB9GL,Eschenbach,JN47LF,480m,C4FM #17263,1,47.2291667,8.9583333
438.1500,438.1500,HB9GL,Riedern GL,JN47MB,493m,C4FM #17093,1,"47.0499479","9.0515165"
438.1500,438.1500,HB9EE,Hüntwangen,JN47FO,396m,project 2020,0,"47.5954244","8.4925331"
438.1750,438.1750,HB9GL,Nuolen,JN47KE,410m,C4FM #17315,1,"47.2036583","8.8876137"
438.2000,430.6000,HB9DR,Wohlen,JN47DI,419m,DMR-I #228501 CC1 SWISS,1,"47.3504945","8.2786906"
438.2000,430.6000,HB9FG,Coffrane,JN37KA,950m,C4FM* (project 2018),0,"47.00904045","6.867723972220008"
438.2125,430.6125,HB9F,Schilthorn,JN36WN,2963m,DMR-B #228302 CC1,1,"46.5573271","7.8352093"
438.2125,430.6125,HB9DC,Männedorf,JN47IG,420m,DMR-B #228802 CC5 testing,2,"47.253174","8.6918153"
438.2125,430.6125,HB9DR,St. Gallen,JN47QK,654m,MM DMR-B/I #228903 CC1,1,"47.4250593","9.3765878"
438.2250,430.6250,HB9BA,Weissenstein,JN37SG,1280m,DMR-B #228402 CC1,1,"47.2531649","7.5080204"
438.2250,430.6250,HB9DR,St. Gallen,JN47QJ,767m,DMR-I #228901 CC2 SWISS,1,47.3958333,9.3750000
438.2250,430.6250,HB9CF,Andermatt,JN46GP,1857m,DMR-B #228612 CC3,1,"46.629718249999996","8.576460663684966"
438.2375,430.6375,HB9BG,Belp,JN36SV,510m,DMR* #228306,1,"46.89058675","7.50967570171648"
438.2375,430.6375,HB9NF,Sternenberg,JN47KJ,885m,C4FM* NFM T71.9,2,"47.3870845","8.9113948"
438.2375,430.6375,HB9NF,Warten,JN47LH,1201m,C4FM* NFM T67.0,1,47.3125000,8.9583333
